hypothesis_id,module,kind,feature,observation,interpretation,expected_direction,discovery_a_n,discovery_b_n,discovery_delta,discovery_trimmed_delta,action,holdout_test
breakout:filter:bo_long_fail_trend,breakout,filter,bo_long_fail_trend,MIXED,Single-blocker minus approved pure mean forward return; observational association,1,780,1007,0.0036522428681099433,0.0030218703199941634,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:bo_long_fail_price,breakout,filter,bo_long_fail_price,POTENTIALLY TOO STRICT,Single-blocker minus approved pure mean forward return; observational association,1,780,2992,0.007569699481261658,0.005970514879813655,TEST RELAXATION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:bo_long_fail_volume,breakout,filter,bo_long_fail_volume,SUPPORTED,Single-blocker minus approved pure mean forward return; observational association,-1,780,572,-0.011468613112134485,-0.0077329831732752576,KEEP CURRENT RULE,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:bo_long_fail_rsi,breakout,filter,bo_long_fail_rsi,MIXED,Single-blocker minus approved pure mean forward return; observational association,1,780,474,0.0020749400222246257,0.002425304333811597,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:long_fail_direction,breakout,filter,long_fail_direction,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,780,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:long_fail_volatility,breakout,filter,long_fail_volatility,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,780,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:long_fail_candle,breakout,filter,long_fail_candle,MIXED,Single-blocker minus approved pure mean forward return; observational association,1,780,52,0.032121135057281335,0.015793765856097406,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:long_fail_session,breakout,filter,long_fail_session,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,780,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:filter:long_fail_confirmed,breakout,filter,long_fail_confirmed,LOW SAMPLE,Single-blocker minus approved pure mean forward return; observational association,0,780,0,,,NO ACTION,"Same cohorts, 10-bar primary; 1/3/5/20 descriptive; n>=30 each, >=5 shared symbols, >=60% agreement; trim/median/winner top5 agree"
breakout:feature:rsi,breakout,feature,rsi,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,157,158,-0.0029661794349166246,-0.0037922253187890487,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
